Id,Name,Link,ConformanceUnits
1002,SafetyProviderParametersType,"https://reference.opcfoundation.org/Safety/docs/6.1.6","SafetyProviderParameters;"
1003,SafetyProviderType,"https://reference.opcfoundation.org/Safety/docs/6.1.2","SafetyProviderParameters;"
1004,SafetyObjectsType,"https://reference.opcfoundation.org/Safety/docs/6.1.2","SafetySupport;"
1005,SafetyConsumerType,"https://reference.opcfoundation.org/Safety/docs/6.1.2","SafetyConsumerParameters;"
1006,SafetyConsumerParametersType,"https://reference.opcfoundation.org/Safety/docs/6.1.6","SafetyConsumerParameters;"
1007,SafetyPDUsType,"https://reference.opcfoundation.org/Safety/docs/6.1.5","SafetyPDUs;"
3002,NonSafetyDataPlaceholderDataType,"https://reference.opcfoundation.org/Safety/docs/6.2.5",""
3003,RequestSPDUDataType,"https://reference.opcfoundation.org/Safety/docs/6.2.3","SafetyPDUs;"
3004,ResponseSPDUDataType,"https://reference.opcfoundation.org/Safety/docs/6.2.4","SafetyPDUs;"
3005,InFlagsType,"https://reference.opcfoundation.org/Safety/docs/6.2.1","SafetySupport;"
3006,OutFlagsType,"https://reference.opcfoundation.org/Safety/docs/6.2.2","SafetySupport;"
5002,SafetyACSet,"https://reference.opcfoundation.org/Safety/docs/6.1.1","SafetyACSet;"
5006,http://opcfoundation.org/UA/Safety,"https://reference.opcfoundation.org/Safety/docs/14.1",""
7001,ReadSafetyData,"https://reference.opcfoundation.org/Safety/docs/6.1.3","ReadSafetyData;"
7002,ReadSafetyDiagnostics,"https://reference.opcfoundation.org/Safety/docs/6.1.4","ReadSafetyDiagnostics;"
